GEOID,year,force,employed,unemployed,rate
18017,2010,18851,16810,2041,10.8
18019,2010,55317,50043,5274,9.5
18021,2010,13180,11712,1468,11.1
18023,2010,16899,15185,1714,10.1
18025,2010,4919,4283,636,12.9
18027,2010,14747,13790,957,6.5
18029,2010,25524,22752,2772,10.9
18031,2010,12919,11415,1504,11.6
18033,2010,20595,18138,2457,11.9
18035,2010,54724,48402,6322,11.6
18037,2010,21927,20285,1642,7.5
18039,2010,94498,81899,12599,13.3
18041,2010,9770,8342,1428,14.6
18043,2010,37858,34505,3353,8.9
18045,2010,8608,7593,1015,11.8
18047,2010,11395,10088,1307,11.5
18049,2010,10284,9109,1175,11.4
18051,2010,16897,15543,1354,8
18053,2010,33554,29667,3887,11.6
18055,2010,14390,12856,1534,10.7
18057,2010,144861,135158,9703,6.7
18059,2010,35809,32491,3318,9.3
18061,2010,18989,17118,1871,9.9
18063,2010,74718,68852,5866,7.9
18065,2010,21391,18426,2965,13.9
18067,2010,35806,31300,4506,12.6
18069,2010,19039,16774,2265,11.9
18071,2010,20476,18323,2153,10.5
18073,2010,16141,14456,1685,10.4
18075,2010,10627,9494,1133,10.7
18077,2010,15464,13709,1755,11.3
18079,2010,13303,11581,1722,12.9
18081,2010,71598,65283,6315,8.8
18083,2010,18520,17006,1514,8.2
18085,2010,39226,34899,4327,11
18087,2010,16570,14574,1996,12
18089,2010,229142,204408,24734,10.8
18091,2010,51336,45158,6178,12
18093,2010,20728,18100,2628,12.7
18095,2010,59406,52242,7164,12.1
18097,2010,452835,405070,47765,10.5
18099,2010,23476,20823,2653,11.3
18101,2010,5262,4865,397,7.5
18103,2010,15947,13956,1991,12.5
18105,2010,67736,62375,5361,7.9
18107,2010,18896,16970,1926,10.2
18109,2010,35025,31393,3632,10.4
18111,2010,7075,6272,803,11.3
18113,2010,23011,19984,3027,13.2
18115,2010,3263,2902,361,11.1
18117,2010,9110,7948,1162,12.8
